recommendationid,content,voted_up,votes_up,votes_funny,weighted_vote_score,playtime_at_review_min,playtime_forever_min,author_steamid,timestamp_created
216397226,진심 겁나 재밌습니다. 꼭 해보세요..이게 메타 80점? 이라는 것이 말도 안된다 생각합니다. 최소 metacritic 점수 88점은 최최소 받아야한다고 생각합니다 제 개인적인 점수는 92점 이상도 가능하다고.. 인왕 세키로 닼3 급인데..? 얘네랑 어깨를 나란히 해도 될 정도의 퀄리티와 시스템이 보입니다.  메타크리틱 이 양반들 억까 점수 준 거 같고요.. 메타 점수 80점 받았어서 안했었다가 이제서야 하는데  왜 이제서야 이런 초초갓겜을 하는건지...  오픈월드 요소만 빼면 닼3보다 훨~씬 재밌습니다. 엘들링이 1티어라면 피구라가 1.5티어 닼3 인왕도 1.5티어라고 보고싶습니다.  진짜 초초갓겜이니 꼭 해보시길 권해드리고싶습니다. 입문작으로도 너무 좋고요 난이도 조절돼서  블러드본+프롬여러 다크소울 시스템을 잘 연구했고 거기에 더해 피구라만의 시스템들과 퀄리티들이 잘 묻어놔서 정말 뛰어난 소울게임입니다.,1,0,1,0.5,2271,5883,76561199555103997,1768912452
216383496,난 여태 이거보다 잘 만든 소울라이크를 본 적이 없다,1,0,0,0.5,3783,3783,76561198039293471,1768890344
216376529,게임이 뭣같음,1,0,0,0.5,2585,4837,76561199138998838,1768878943
216231983,토끼단 다구리에서 키마로하다가 락온이 지랄맞게 튐  하도 열뻗쳐서 찾아보니까 게임 출시때부터 이랬던거같은데 아직도 이러는거보니까 제작진은 키마플레이를 아예 해보지도않았나?싶음  한번 개짜증나니까 별게 다 거슬림  비전투중 뛰댕길때도 스태미나 다는거나 좀 과하게많은 개뻔한 짜바리함정들. 평소엔 잘굴러댕기다 전투때만 안구르고 스텝밟기 등 아 개열받네  그래도 잘만든듯 재밌음  차기작은 난이도조절 없애고 장비 더 늘려줬으면 좋겠음,1,0,0,0.5,584,584,76561199036305656,1768723911
216175319,새키로 다음으로 한 소울라이크 매우 만족  세키로 만큼 손맛이 있냐는 아닌데 떄깔이랑 분위기가 참 좋았다  1회차 25시간? 27시간? 정도 걸림  2회차까지 39시간,1,0,0,0.5,2371,3006,76561198039006725,1768667388
216148112,처음 출시때 보다 훨씬 쉬워지고 공략도 많다보니 쉽게 할수 있음...단 소울류 못하는 사람은 거부감 들꺼임ㅋ,1,1,0,0.5,461,1158,76561199245016913,1768642266
216099443,"소울라이크 게임을 처음 해보는데, 처음에는 너무 어렵지 않으면서 재미있게 게임을 따라갈 수 있게 잘 만들었네요. 점점 난이도가 올라가지만 같이 게임실력도 올라가니 재미있게 벌써 3회차를 클리어했습니다. 추천합니다.",1,1,0,0.5,12659,25061,76561199257430289,1768587923
216087572,얼른 2 나오길,1,0,0,0.5,5199,5912,76561198107119201,1768577075
216078977,"어렵지 않고,, 재미있어요",1,0,0,0.5,22182,22231,76561199557639810,1768568037
216070914,노래가 굉장히 고풍스러움,1,1,0,0.523809552192687988,2853,2853,76561199104811382,1768556361
216022708,P의 거짓 (★★★★☆ 4.0)  건네는 거짓말이 진실이 되는 기점은 진심이 전해졌을 때이다. 피노키오는 인간양의 꿈을 꾸는가 소울류 게임에서 불편할 수 있을 법한 요소들을 신경써서 잘 설계한 듯 독특한 디자인의 무기들이 있어 구경하는 재미도 쏠쏠함 엔딩까지 가는동안 호텔사람들의 서브스토리를 전부 볼 수 있어 좋았다. C의 이야기를 떠올리는 장면이 있었다면 더 좋았을 것 같음. 거짓말을 하면 그림에서 자꾸 코가 자라요 보스가 너무 강하다면 레벨과 강화가 안되어있는건 아닌지 꼭 확인하라 여러마리 보스나올 때 에임이 이쪽저쪽 옮겨져서 불편  26.01.15 플레이를 기록하며.,1,1,0,0.5,2416,3641,76561198263932215,1768492396
216012671,b,1,0,0,0.5,2904,4820,76561199467595268,1768480060
215895858,갓겜,1,0,0,0.5,3825,4549,76561199238622179,1768315294
215865257,"세키로 만큼은 아니지만 꽤 재밌습니다. 스테미나 관리와 패링 타이밍(엇박자, 스킵모션)이 피지컬로 풀기에는 거의 불가능하고 외워야 합니다. 빠른 스피드를 원한다면 그냥 세키로를 한번 더 하세요",1,1,0,0.498257845640182495,6555,7924,76561199025812280,1768269533
215733643,엘든링 재밌게 했으면 무조건 재밌게 할듯  보스는 쉬운데 네임드랑 잡몹들의 콜라보가 짜증남 ㅋㅋ    아이템이 낭떠러지에 있다..? 내 등뒤를 노리는 몹도 같이 있음,1,0,0,0.5,2177,2177,76561198097693593,1768129711
215647615,재밌음,1,0,0,0.5,4987,4987,76561199221338014,1768051759
215643658,d,1,0,0,0.5,2933,2933,76561199148014026,1768048282
215559550,잼슴,1,0,0,0.5,1831,3684,76561198173465727,1767964457
215541035,본가겜도 그렇고 멍멍이 왤케 싫어하나요? 톱 달아놓고 폭탄 달아놓고 웰시코기처럼 귀엽게라도 만들어주지,1,1,0,0.5,2440,7081,76561199809027568,1767941713
215539535,맛좋은 조선소울,1,0,0,0.5,4358,4599,76561198930559051,1767939383
215492855,푸오코까지 잡는데 걸린 시간 5시간 30분.... 이 게임 평생 할 수 있지 않을까?  바닐라 다 깼다!! 소울라이크 어렵고 답답한거 왜 좋아하지 생각했었는데 직접 해보고 느낀 점은 일단 상대의 패턴이 눈에 익숙해지는게 중요한거 같음. 눈에 보이니까 맞고 죽어도 뭔가 알거 같고 몇 번 다시 하면  딜 타이밍을 잡게 되고 퍼펙트 가드가 되고... 클리어가 되면서 성취감이 느껴지는 부분이 재미있는 장르인 것 같음  재밌었습니다. 나중에 시간 많을 때 DLC할인하면 다시 해볼거 같음,1,3,0,0.54356849193572998,2306,2306,76561198208250737,1767890147
